r,deviance,nu,JIC
0,-3730.4612102381757,0.15679945611142293,-3730.304410782064
2,-3730.1851198303098,0.26133242685237157,-3729.9237874034575
4,-3732.2655592134593,0.3658653975933202,-3731.899693815866
6,-3732.108032762959,0.4703983683342688,-3731.6376343946245
8,-3731.949812652667,0.5749313390752174,-3731.3748813135917
10,-3732.343996743805,0.6794643098161661,-3731.664532433989
12,-3732.3803625190335,0.7839972805571147,-3731.596365238476
14,-3732.411257454028,0.8885302512980633,-3731.52272720273
