gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj
LINC01409,0.048287598874515586,0.07091213747000678,0.6809497019454456,0.0,0.49784866884887435,0.7664597565174869,0.669584172667228,0.9972311548296766
NOC2L,0.08021331895253242,0.05177999698181465,1.5491178761695112,0.0,0.12542553962805505,0.3941280901102491,0.32159402322354513,0.9858575143886807
ENSG00000272512,-0.2656071511895835,0.3329339936041247,-0.797777205968952,0.0,0.4272775953204385,0.7152320300349264,0.5897113857520296,0.9972311548296766
HES4,-0.6136747358890822,0.2191699995653777,-2.799994237833746,0.0,0.006363781839267282,0.06249840361080316,0.06727712452723285,0.6739974499010286
ISG15,-0.3676656297633293,0.19942728174010066,-1.8436074871766124,0.0,0.06917041482644835,0.2813684684910818,0.22358942207870186,0.9336454140615227
AGRN,-0.3436943382327645,0.10065674375879578,-3.4145187435862305,0.0,0.0010011831130251599,0.016570296792887015,0.02668962706272621,0.44676599326565747
C1orf159,0.04039807318462276,0.08474646205173841,0.47669332980484075,0.0,0.6351491653813957,0.8461258272564084,0.7694138903622674,0.9972311548296766
TNFRSF18,0.1820504476998169,0.23978329907778217,0.7592290555680544,0.0,0.45008608814606554,0.7328838253125192,0.6328934456320787,0.9972311548296766
TNFRSF4,0.10115270000035484,0.23401209249867166,0.43225415798087025,0.0,0.6667528151080913,0.8636455408594897,0.7915524155897318,0.9972311548296766
SDF4,-0.024054268059203642,0.08357649532474559,-0.28781139919469173,0.0,0.7742165230818381,0.9120180528635156,0.8365533706208913,0.9972311548296766
B3GALT6,0.002785729324522087,0.1432909464070486,0.01944107003528769,0.0,0.9845386782004719,0.9924943901692626,0.995636271443995,0.9996132225765296
UBE2J2,0.07763468931802812,0.05360436811408732,1.4482903548605695,0.0,0.1513489486917364,0.4338100881486324,0.3543560823985149,0.9926335741731986
ACAP3,0.09933025457373235,0.07606781715099124,1.30581181758596,0.0,0.1952638544290152,0.4938002206843437,0.40445199953906497,0.9972311548296766
PUSL1,-0.08721497532792681,0.1756108684222167,-0.49663768599012953,0.0,0.6207574441530896,0.8402523979236372,0.7317962006599508,0.9972311548296766
INTS11,0.13353148546972932,0.06232332163388204,2.1425604728541137,0.0,0.03511857018631879,0.18759155905457023,0.16929797758683837,0.8824413128144092
CPTP,0.20721993780236403,0.11930386536033828,1.7369088350699224,0.0,0.08611385318641727,0.3193906541159271,0.2656471097384838,0.9623048493079425
DVL1,0.043960219251905915,0.06192478261226501,0.7098970298718339,0.0,0.4799858050107848,0.7533600026083634,0.6559832042396818,0.9972311548296766
AURKAIP1,-0.08645672471710092,0.11042716410123794,-0.7829298653168228,0.0,0.43594514581962296,0.7219877865710111,0.5964382674486478,0.9972311548296766
CCNL2,0.00014805240279293206,0.048249819541726184,0.0030684550574307775,0.0,0.9975596865816061,0.998607497535169,0.9870988755423378,0.9986796572144134
