"","gene_names"
"311","PNRC2"
"312","SRSF10"
"313","AL591178.1"
"314","MYOM3"
"315","IL22RA1"
"316","IFNLR1"
"317","AL590683.1"
"318","STPG1"
"319","NIPAL3"
"320","RCAN3"
"321","AL445686.2"
"322","NCMAP"
"323","SRRM1"
"324","CLIC4"
"325","AL050344.1"
"326","SYF2"
"327","RSRP1"
"328","AL031432.3"
"329","RHD"
"330","TMEM50A"
"331","RHCE"
"332","MACO1"
"333","LDLRAP1"
"334","AL606491.1"
"335","MAN1C1"
"336","AL031280.1"
"337","SELENON"
"338","AL020996.1"
"339","MTFR1L"
"340","AUNIP"
"341","AL033528.2"
"342","PAQR7"
"343","STMN1"
"344","PAFAH2"
"345","EXTL1"
"346","SLC30A2"
"347","PDIK1L"
"348","FAM110D"
"349","ZNF593"
"350","CNKSR1"
"351","CEP85"
"352","SH3BGRL3"
"353","UBXN11"
"354","CD52"
"355","DHDDS"
"356","AL513365.2"
"357","HMGN2"
"358","RPS6KA1"
"359","ARID1A"
"360","PIGV"
"361","ZDHHC18"
"362","GPN2"
"363","GPATCH3"
"364","NUDC"
"365","KDF1"
"366","TRNP1"
"367","TENT5B"
"368","SLC9A1"
"369","AL590640.1"
"370","WDTC1"
"371","TMEM222"
"372","SYTL1"
"373","MAP3K6"
"374","CD164L2"
"375","GPR3"
"376","WASF2"
"377","FO393419.2"
"378","BX293535.1"
"379","AHDC1"
"380","FGR"
"381","IFI6"
"382","AL445490.1"
"383","FAM76A"
"384","STX12"
"385","PPP1R8"
"386","THEMIS2"
"387","RPA2"
"388","SMPDL3B"
"389","XKR8"
"390","EYA3"
"391","PTAFR"
"392","DNAJC8"
"393","ATP5IF1"
"394","AL353622.1"
"395","SESN2"
"396","MED18"
"397","PHACTR4"
"398","RCC1"
"399","TRNAU1AP"
"400","SNHG12"
"401","TAF12"
"402","LINC01715"
"403","AL360012.1"
"404","GMEB1"
"405","YTHDF2"
"406","OPRD1"
"407","AL009181.1"
"408","EPB41"
"409","TMEM200B"
"410","AL357500.1"
"411","SRSF4"
"412","MECR"
"413","PTPRU"
"414","LINC01756"
"415","AL645944.2"
"416","MATN1"
"417","MATN1-AS1"
"418","LAPTM5"
"419","LINC01778"
"420","SDC3"
"421","PUM1"
"422","NKAIN1"
"423","SNRNP40"
"424","ZCCHC17"
"425","AL451070.1"
"426","FABP3"
"427","SERINC2"
"428","HCRTR1"
"429","PEF1"
"430","AC114488.2"
"431","COL16A1"
"432","ADGRB2"
"433","SPOCD1"
"434","AL354919.1"
"435","AL136115.2"
"436","PTP4A2"
"437","KHDRBS1"
"438","AL445248.1"
"439","TMEM39B"
"440","KPNA6"
"441","TXLNA"
"442","CCDC28B"
"443","AL049795.1"
"444","IQCC"
"445","DCDC2B"
"446","TMEM234"
"447","EIF3I"
"448","LCK"
"449","HDAC1"
"450","MARCKSL1"
"451","TSSK3"
"452","FAM229A"
"453","BSDC1"
"454","AL033529.1"
"455","ZBTB8A"
"456","ZBTB8OS"
"457","RBBP4"
"458","SYNC"
"459","AC114489.1"
"460","KIAA1522"
"461","YARS"
"462","S100PBP"
"463","FNDC5"
"464","HPCA"
"465","TMEM54"
"466","RNF19B"
"467","AL020995.1"
"468","AK2"
"469","AZIN2"
"470","TRIM62"
"471","AL662907.3"
"472","ZNF362"
"473","A3GALT2"
"474","AL513327.1"
"475","PHC2"
"476","AL513327.2"
"477","ZSCAN20"
"478","CSMD2"
"479","C1ORF94"
"480","SMIM12"
"481","GJB5"
"482","GJB3"
"483","DLGAP3"
"484","AC114490.3"
"485","ZMYM1"
"486","AL590434.1"
"487","SFPQ"
"488","ZMYM4"
"489","ZMYM4-AS1"
"490","KIAA0319L"
"491","NCDN"
"492","AC004865.2"
"493","TFAP2E"
"494","PSMB2"
"495","C1ORF216"
"496","CLSPN"
"497","AGO4"
"498","AGO1"
"499","AGO3"
"500","AL138787.2"
"501","ADPRHL2"
"502","COL8A2"
"503","TRAPPC3"
"504","MAP7D1"
"505","THRAP3"
"506","SH3D21"
"507","AL591845.1"
"508","STK40"
"509","LSM10"
"510","OSCP1"
"511","MRPS15"
"512","AL596257.1"
"513","GRIK3"
"514","AL353604.1"
"515","LINC01137"
"516","ZC3H12A"
"517","MEAF6"
"518","SNIP1"
"519","DNALI1"
"520","GNL2"
"521","RSPO1"
"522","C1ORF109"
"523","CDCA8"
"524","EPHA10"
"525","MANEAL"
"526","YRDC"
"527","C1ORF122"
"528","MTF1"
"529","AL929472.2"
"530","INPP5B"
"531","SF3A3"
"532","FHL3"
"533","UTP11"
"534","POU3F1"
"535","AL139158.2"
"536","LINC01685"
"537","AL354702.2"
"538","RRAGC"
"539","AL139260.1"
"540","MYCBP"
"541","RHBDL2"
"542","AKIRIN1"
"543","NDUFS5"
"544","MACF1"
"545","AL442071.1"
"546","BMP8A"
"547","PABPC4"
"548","AL365277.1"
"549","HEYL"
"550","NT5C1A"
"551","HPCAL4"
"552","PPIE"
"553","BMP8B"
"554","AL033527.5"
"555","AL033527.4"
"556","TRIT1"
"557","MYCL"
"558","MFSD2A"
"559","CAP1"
"560","PPT1"
"561","RLF"
"562","AL050341.2"
"563","ZMPSTE24"
"564","COL9A2"
"565","SMAP2"
"566","AL031985.4"
"567","ZFP69B"
"568","ZFP69"
"569","AL603839.3"
"570","EXO5"
"571","ZNF684"
"572","RIMS3"
"573","AL031289.1"
"574","NFYC-AS1"
"575","NFYC"
"576","KCNQ4"
"577","CITED4"
"578","CTPS1"
"579","SLFNL1-AS1"
"580","SLFNL1"
"581","SCMH1"
"582","AC093151.3"
"583","FOXO6"
"584","HIVEP3"
"585","FOXJ3"
"586","RIMKLA"
"587","ZMYND12"
"588","PPCS"
"589","CCDC30"
"590","PPIH"
"591","AC098484.2"
"592","YBX1"
"593","P3H1"
"594","AC098484.3"
"595","TMEM269"
"596","SVBP"
"597","ERMAP"
"598","ZNF691"
"599","SLC2A1"
"600","SLC2A1-AS1"
"601","EBNA1BP2"
"602","CFAP57"
"603","TMEM125"
"604","TIE1"
"605","MPL"
"606","AL139289.2"
"607","ELOVL1"
"608","MED8"
"609","SZT2"
"610","HYI"
"611","PTPRF"
"612","KDM4A-AS1"
"613","ST3GAL3"
"614","AL451062.1"
"615","ARTN"
"616","AL357079.1"
"617","IPO13"
"618","DPH2"
"619","ATP6V0B"
"620","B4GALT2"
"621","CCDC24"
"622","SLC6A9"
"623","AL139220.2"
"624","DMAP1"
"625","ERI3"
"626","RNF220"
"627","TMEM53"
"628","ARMH1"
"629","KIF2C"
"630","AL592166.1"
"631","RPS8"
"632","BEST4"
"633","PLK3"
"634","BTBD19"
"635","PTCH2"
"636","EIF2B3"
"637","HECTD3"
"638","UROD"
"639","ZSWIM5"
"640","MUTYH"
"641","TOE1"
"642","TESK2"
"643","CCDC163"
"644","MMACHC"
"645","PRDX1"
"646","AKR1A1"
"647","NASP"
"648","GPBP1L1"
"649","TMEM69"
"650","IPP"
"651","MAST2"
"652","PIK3R3"
"653","AL358075.4"
"654","AL358075.2"
"655","TSPAN1"
"656","POMGNT1"
"657","LURAP1"
"658","RAD54L"
"659","LRRC41"
"660","UQCRH"
"661","NSUN4"
"662","FAAH"
"663","AL136373.1"
"664","MKNK1-AS1"
"665","KNCN"
"666","MKNK1"
"667","ATPAF1"
"668","EFCAB14-AS1"
"669","EFCAB14"
"670","CYP4B1"
"671","CYP4X1"
"672","CYP4Z1"
"673","CYP4A22-AS1"
"674","LINC00853"
"675","STIL"
"676","CMPK1"
"677","LINC01389"
"678","TRABD2B"
"679","AL356289.1"
"680","SLC5A9"
"681","SPATA6"
"682","AGBL4"
"683","AC099788.1"
"684","AL590432.1"
"685","ELAVL4"
"686","AL592182.2"
"687","AL596275.2"
"688","DMRTA2"
"689","FAF1"
"690","AL049637.1"
"691","CDKN2C"
"692","C1ORF185"
"693","LINC01562"
"694","RNF11"
"695","TTC39A"
"696","TTC39A-AS1"
"697","EPS15"
"698","AC104170.1"
"699","OSBPL9"
"700","NRDC"
"701","RAB3B"
"702","TXNDC12"
"703","AL445685.1"
"704","BTF3L4"
"705","ZFYVE9"
"706","CC2D1B"
"707","AL513218.1"
"708","ORC1"
"709","PRPF38A"
"710","TUT4"
"711","GPX7"
"712","SHISAL2A"
"713","COA7"
"714","ZYG11B"
"715","ZYG11A"
"716","ECHDC2"
"717","SCP2"
"718","CPT2"
"719","AL606760.2"
"720","C1ORF123"
"721","AL606760.3"
"722","MAGOH"
"723","LRP8"
"724","LINC01771"
"725","GLIS1"
"726","NDC1"
"727","YIPF1"
"728","DIO1"
"729","HSPB11"
"730","LRRC42"
"731","TMEM59"
"732","TCEANC2"
"733","AL357673.1"
"734","MRPL37"
"735","SSBP3"
"736","ACOT11"
"737","FAM151A"
"738","MROH7-TTC4"
"739","TTC4"
"740","PARS2"
"741","TTC22"
"742","LEXM"
"743","DHCR24"
"744","AC096536.1"
"745","TMEM61"
"746","PCSK9"
"747","USP24"
"748","MIR4422HG"
"749","AL603840.1"
"750","PLPP3"
"751","PRKAA2"
"752","FYB2"
"753","DAB1"
"754","AL445193.2"
"755","MYSM1"
"756","AL136985.3"
"757","JUN"
"758","LINC01135"
"759","AC105277.1"
"760","LINC01358"
"761","AC093424.1"
"762","FGGY"
"763","AL035416.1"
"764","HOOK1"
"765","C1ORF87"
"766","LINC01748"
"767","AC099792.1"
"768","NFIA"
"769","NFIA-AS2"
"770","TM2D1"
"771","AC099791.2"
"772","PATJ"
"773","L1TD1"
"774","KANK4"
"775","USP1"
"776","DOCK7"
"777","AC103923.1"
"778","ATG4C"
"779","ALG6"
"780","ITGB3BP"
"781","EFCAB7"
"782","PGM1"
"783","ROR1"
"784","UBE2U"
"785","CACHD1"
"786","RAVER2"
"787","JAK1"
"788","AL357078.3"
"789","AK4"
"790","DNAJC6"
"791","AL139294.1"
"792","LEPR"
"793","AL513493.1"
"794","PDE4B"
"795","SGIP1"
"796","AL139147.1"
"797","TCTEX1D1"
"798","INSL5"
"799","WDR78"
"800","MIER1"
"801","SLC35D1"
"802","C1ORF141"
"803","IL23R"
"804","IL12RB2"
"805","SERBP1"
"806","GADD45A"
"807","GNG12"
"808","GNG12-AS1"
"809","DIRAS3"
"810","WLS"
"811","DEPDC1"
"812","DEPDC1-AS1"
"813","AL033530.1"
"814","AL691520.1"
"815","LINC01707"
"816","LRRC7"
"817","AL158840.1"
"818","LRRC40"
"819","SRSF11"
"820","ANKRD13C"
"821","HHLA3"
"822","CTH"
"823","AL354872.2"
"824","LINC01788"
"825","PTGER3"
"826","ZRANB2-AS1"
"827","ZRANB2"
"828","NEGR1"
"829","AL354949.1"
"830","AL583808.1"
"831","AL583808.2"
"832","LRRIQ3"
"833","FPGT-TNNI3K"
"834","TNNI3K"
"835","AC093158.1"
"836","LRRC53"
"837","ERICH3"
"838","ERICH3-AS1"
"839","AC135803.1"
"840","CRYZ"
"841","TYW3"
"842","SLC44A5"
"843","ACADM"
"844","RABGGTB"
"845","MSH4"
"846","ASB17"
"847","AC092813.1"
"848","AC092813.2"
"849","ST6GALNAC3"
"850","ST6GALNAC5"
