"","gene_names"
"324","NUDCD3"
"325","CHDH"
"326","GLT8D1"
"327","ATP2C1"
"328","IGF1"
"329","SLC38A5"
"330","RALBP1"
"331","RUFY3"
"332","CNTN1"
"333","SLC11A1"
"334","WWTR1"
"335","AGPS"
"336","STEEP1"
"337","ATP1A2"
"338","TTC27"
"339","ZNF582"
"340","PHLDB1"
"341","CYP24A1"
"342","PRDM11"
"343","SYT13"
"344","SNAI2"
"345","CD74"
"346","HGF"
"347","ZRANB1"
"348","NCDN"
"349","ADGRA2"
"350","ZFP64"
"351","MNAT1"
"352","SAMD4A"
"353","MRE11"
"354","PLEKHB1"
"355","SERPINB1"
"356","CYP3A43"
"357","SLC7A9"
"358","SPAST"
"359","NRXN3"
"360","OSBPL5"
"361","AQR"
"362","CPS1"
"363","FHL1"
"364","RTF2"
"365","GABRA1"
"366","NLRP2"
"367","SLC45A4"
"368","RNF10"
"369","ZNF839"
"370","ZDHHC6"
"371","GRAMD1B"
"372","RNH1"
"373","NDUFS1"
"374","RB1CC1"
"375","ERP44"
"376","ALAS1"
"377","BIRC3"
"378","AKAP11"
"379","GLRX2"
"380","SNAPC1"
"381","DERA"
"382","STRAP"
"383","ABCC2"
"384","DEF6"
"385","PLEKHO1"
"386","GCLM"
"387","UBR2"
"388","EHD2"
"389","DEPDC1"
"390","CCDC28A"
"391","RRAGD"
"392","HSF2"
"393","PHF20"
"394","HSD17B6"
"395","NR1H3"
"396","TYMP"
"397","NCAPH2"
"398","TOMM34"
"399","SEC63"
"400","KPNA6"
"401","VIM"
"402","FAS"
"403","RNASET2"
"404","CD44"
"405","KCNG1"
"406","AGPAT4"
"407","BTN3A1"
"408","MIPEP"
"409","PRKCH"
"410","INSRR"
"411","IFNGR1"
"412","B4GALT7"
"413","VRK2"
"414","TNFRSF1B"
"415","VEZT"
"416","POU2F2"
"417","BRD9"
"418","SNX1"
"419","TBPL1"
"420","BMAL2"
"421","BCLAF1"
"422","SLC39A9"
"423","ANK1"
"424","TFB1M"
"425","RABEP1"
"426","HMGB3"
"427","NUP160"
"428","BAK1"
"429","IKZF2"
"430","GRN"
"431","FAM13B"
"432","ARHGAP31"
"433","CENPQ"
"434","SARS1"
"435","RANBP3"
"436","ARID4A"
"437","EIPR1"
"438","PNPLA6"
"439","IFT88"
"440","ALG1"
"441","ZCCHC8"
"442","ABCF2"
"443","CHPF2"
"444","LRRC7"
"445","FUT8"
"446","UBA6"
"447","GAB2"
"448","ATP6V0A1"
"449","PIAS1"
"450","SLC4A7"
"451","APBA2"
"452","MAP2K3"
"453","CLXN"
"454","TMSB10"
"455","ASTE1"
"456","RNF19A"
"457","PEX3"
"458","GABARAPL2"
"459","SH3YL1"
"460","FAM136A"
"461","VCL"
"462","DEPDC1B"
"463","DAPK2"
"464","NSMAF"
"465","ADSS2"
"466","STAP1"
"467","TIMP2"
"468","RFC1"
"469","TBC1D23"
"470","CUL3"
"471","MYOM2"
"472","OTC"
"473","CYP46A1"
"474","ZZZ3"
"475","USP2"
"476","TUBG2"
"477","RPL26L1"
"478","NSUN2"
"479","FBXO42"
"480","MFAP3"
"481","MRI1"
"482","METTL1"
"483","AGA"
"484","PI4K2B"
"485","BOD1L1"
"486","MAT2B"
"487","TLL1"
"488","EDC4"
"489","TRIO"
"490","VCAN"
"491","CLEC16A"
"492","MSR1"
"493","CDH1"
"494","MTREX"
"495","DNAH5"
"496","ZFYVE16"
"497","RIPOR1"
"498","C6-ENSG00000039537"
"499","RAI14"
"500","SOX30"
"501","PNKP"
"502","PHLPP2"
"503","SPDL1"
"504","STAU2"
"505","SLC66A1"
"506","CTNS"
"507","RTN4R"
"508","PHF23"
"509","CDH10"
"510","INPP4A"
"511","RAB27B"
"512","PSMA4"
"513","MYO16"
"514","LSG1"
"515","PARP3"
"516","TNC"
"517","THAP3"
"518","RIPOR3"
"519","TDP1"
"520","AIFM2"
"521","C2ORF83-ENSG00000042304"
"522","SPATA7"
"523","MED17"
"524","RETSAT"
"525","AP2S1"
"526","USH2A"
"527","ZPBP"
"528","TG"
"529","ADAM28"
"530","BARX2"
"531","DCUN1D1"
"532","JADE2"
"533","LCP2"
"534","TRIT1"
"535","ADRB1"
"536","CUL7"
"537","CTNNA1"
"538","PHKA2"
"539","CNTLN"
"540","EPHA3"
"541","HSPA5"
"542","DSG2"
"543","GEMIN8"
"544","OFD1"
"545","GPM6B"
"546","PREX2"
"547","WDR37"
"548","YTHDC2"
"549","CTPS2"
"550","ATP6V1H"
"551","POLR2B"
"552","ATOSA"
"553","ARAP2"
"554","TPR"
"555","CP"
"556","KATNIP"
"557","DTNBP1"
"558","XK"
"559","ANO2"
"560","C12ORF4"
"561","SCML1"
"562","WWC3"
"563","ARHGAP6"
"564","FAM184B"
"565","MAP4"
"566","GOPC"
"567","ROS1"
"568","USP28"
"569","HDAC9"
"570","TSPAN17"
"571","NOP16"
"572","CC2D2A"
"573","RRM2B"
"574","ZNF800"
"575","SNX29"
"576","LMO3"
"577","MRPS10"
"578","RSF1"
"579","VPS13D"
"580","CELF2"
"581","FAM120A"
"582","R3HDM1"
"583","KITLG"
"584","ERCC8"
"585","ADAMTS6"
"586","H6PD"
"587","VAMP3"
"588","PER3"
"589","EPN3"
"590","LTBP1"
"591","RCN1"
"592","ELN"
"593","RFC2"
